opener,average_guesses,success_rate,secrets_tested
SLATE,3.804656,0.988000,1000
SALET,3.817629,0.987000,1000
STARE,3.822811,0.982000,1000
STALE,3.826572,0.986000,1000
STANE,3.833671,0.986000,1000
SAINT,3.843337,0.983000,1000
CRATE,3.863405,0.981000,1000
SLANE,3.866126,0.986000,1000
SHALE,3.868367,0.980000,1000
SANER,3.876016,0.984000,1000
SPALE,3.883367,0.986000,1000
SLADE,3.884732,0.989000,1000
SNARE,3.885947,0.982000,1000
SLIER,3.888090,0.974000,1000
SLICE,3.888098,0.983000,1000
CRANE,3.906218,0.981000,1000
SHIRE,3.909184,0.980000,1000
BRACE,3.913177,0.979000,1000
SAINE,3.917683,0.984000,1000
SLATY,3.918616,0.983000,1000
SPANE,3.920202,0.990000,1000
SONCE,3.920973,0.987000,1000
SHITE,3.922370,0.979000,1000
SUITE,3.925510,0.980000,1000
SAUTE,3.925963,0.986000,1000
SHOTE,3.926039,0.987000,1000
SLAKE,3.926904,0.985000,1000
CRONE,3.929592,0.980000,1000
CRISE,3.930399,0.977000,1000
SHINE,3.936670,0.979000,1000
SHONE,3.937247,0.988000,1000
BRANE,3.938197,0.987000,1000
SOARE,3.938650,0.978000,1000
SHARE,3.940997,0.983000,1000
COATE,3.943992,0.982000,1000
CRINE,3.948012,0.981000,1000
SLEET,3.950920,0.978000,1000
SEITY,3.955943,0.976000,1000
SLIME,3.961421,0.985000,1000
SABLE,3.966565,0.987000,1000
SAICE,3.967380,0.981000,1000
SHORE,3.982618,0.978000,1000
SAUCE,3.988741,0.977000,1000
SOUCE,3.988764,0.979000,1000
SIREE,3.990683,0.966000,1000
SARGE,3.990760,0.974000,1000
SLIDE,3.992879,0.983000,1000
SEINE,3.993865,0.978000,1000
SLAVE,3.993902,0.984000,1000
SOILY,4.006148,0.976000,1000
SAUCY,4.011236,0.979000,1000
SHINY,4.013225,0.983000,1000
COREY,4.015609,0.961000,1000
SHALY,4.019270,0.986000,1000
SAIST,4.022541,0.976000,1000
SEARE,4.027749,0.973000,1000
SALLE,4.030550,0.982000,1000
SAMEY,4.031313,0.990000,1000
SAURY,4.036999,0.973000,1000
SOAPY,4.038776,0.980000,1000
SPREE,4.041837,0.980000,1000
SOOTE,4.043744,0.983000,1000
SAREE,4.045314,0.971000,1000
SOREE,4.050568,0.969000,1000
SEAMY,4.050761,0.985000,1000
CEASE,4.051387,0.973000,1000
BOREE,4.062564,0.975000,1000
SALSE,4.063008,0.984000,1000
CRARE,4.067779,0.959000,1000
SOOLE,4.075510,0.980000,1000
CADEE,4.082816,0.966000,1000
SKIEY,4.104615,0.975000,1000
SORER,4.105858,0.973000,1000
SAVEY,4.106168,0.989000,1000
SOAVE,4.117766,0.985000,1000
SLUSE,4.137113,0.970000,1000
SEAME,4.137335,0.983000,1000
SONNE,4.148676,0.982000,1000
SUAVE,4.151269,0.985000,1000
SONSE,4.152905,0.981000,1000
SLILY,4.161191,0.974000,1000
SORRY,4.165128,0.975000,1000
SOOTY,4.173156,0.976000,1000
COOEY,4.174051,0.948000,1000
SERRE,4.175130,0.965000,1000
SONNY,4.180143,0.977000,1000
SONSY,4.185832,0.974000,1000
SENSE,4.191837,0.980000,1000
SOOEY,4.201854,0.971000,1000
SOUSE,4.204545,0.968000,1000
COOEE,4.226987,0.956000,1000
SEISE,4.236155,0.957000,1000
SEIZE,4.260417,0.960000,1000
GOOEY,4.268577,0.942000,1000
SEASE,4.275362,0.966000,1000
SEMEE,4.280450,0.977000,1000
RAREE,4.284963,0.951000,1000
SEAZE,4.297214,0.969000,1000
SESEY,4.302999,0.967000,1000
SASSE,4.346074,0.968000,1000
